#{"t_start": 1784439046.130854, "env_id": "Reacher-v5"}
r,l,t
-9.973757,50,85.853858
-12.328907,50,85.884322
-12.263921,50,85.914288
-10.148695,50,85.945436
-10.284573,50,85.976087
-10.275936,50,86.006394
-11.056852,50,86.038192
-14.376808,50,86.067803
-14.273998,50,86.098092
-10.259702,50,86.128127
-10.338097,50,86.159215
-13.836116,50,86.190985
-10.195563,50,86.221433
-10.255411,50,86.253064
-14.120007,50,86.28528
-12.214605,50,86.31586
-15.215894,50,86.347351
-11.84566,50,86.37923
-12.894462,50,88.64663
-10.327375,50,88.678492
-15.864393,50,88.708902
-15.339909,50,88.739505
-10.905388,50,88.770521
-11.03511,50,88.80063
-10.717782,50,88.831032
-14.258483,50,88.861508
-12.813483,50,88.89266
-11.925211,50,88.92315
-10.467231,50,88.95348
-8.985082,50,88.984632
-9.547397,50,89.015101
-11.020872,50,89.045496
-16.80427,50,89.076732
-11.310307,50,89.106715
-9.557086,50,89.137087
-11.878547,50,89.333954
-9.922491,50,89.364523
-10.395984,50,89.395861
-10.587234,50,89.428206
-10.468263,50,89.458593
-11.462121,50,89.490051
-17.150705,50,89.520978
-11.35634,50,89.55091
-9.420517,50,89.582182
-8.836058,50,89.61273
-12.370485,50,89.64292
-16.330044,50,89.672927
-13.925646,50,89.704317
-11.395213,50,89.736049
-15.945306,50,89.766367
-9.103879,50,89.797379
-9.325723,50,89.828206
-9.43008,50,89.858259
-7.523714,50,89.889424
-9.463801,50,89.919712
-15.166342,50,89.95035
-9.196792,50,89.981444
-11.092645,50,90.011336
-10.995967,50,90.043391
-8.651318,50,92.195183
-13.024598,50,92.226388
-9.415522,50,92.256584
-8.241033,50,92.286571
-11.621772,50,92.318
-10.981996,50,92.347939
-13.274177,50,92.378581
-8.147615,50,92.409763
-14.873976,50,92.440235
-13.10295,50,92.470866
-12.397158,50,92.500931
-12.829105,50,92.532254
-14.156155,50,92.562681
-13.230152,50,92.592532
-12.53761,50,92.625061
-10.916813,50,92.655401
-9.935116,50,92.685344
-13.119784,50,92.716547
-12.379169,50,92.746544
-16.049673,50,92.777116
-11.15071,50,92.806972
-14.274306,50,92.83815
-16.67396,50,92.868697
-15.814054,50,92.899117
-9.509845,50,92.930379
-8.203092,50,92.961091
-12.259624,50,93.15423
-12.853881,50,93.184136
-15.450439,50,93.21545
-10.052658,50,93.24486
-10.30129,50,93.275052
-9.031546,50,93.304708
