#{"t_start": 1784446208.7240992, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-8.613734,50,74.918829
-5.483908,50,74.950626
-6.602118,50,74.982091
-7.143562,50,75.546094
-7.052292,50,75.577364
-7.987096,50,75.610094
-6.13917,50,75.641294
-4.714447,50,75.672767
-6.804783,50,75.704646
-7.328142,50,75.737262
-6.860135,50,75.768901
-5.522643,50,75.800292
-8.076239,50,75.832702
-12.891122,50,76.40022
-6.72418,50,76.432613
-12.514684,50,76.465025
-7.878007,50,76.496146
-3.935739,50,76.528288
-11.106539,50,76.559515
-6.592734,50,76.591571
-7.121035,50,76.62398
-6.037287,50,76.655156
-5.713553,50,76.686543
-7.365831,50,76.717788
-4.679436,50,77.283879
-2.884522,50,77.315235
-6.188409,50,77.348051
-11.522726,50,77.379781
-12.263261,50,77.411223
-6.690142,50,77.443508
-7.147027,50,77.474632
-8.626241,50,77.506333
-6.005178,50,77.538558
-4.55722,50,77.569662
-6.503557,50,78.131012
-5.341289,50,78.163782
-12.073961,50,78.19558
-6.151459,50,78.22684
-2.878846,50,78.259036
-6.027572,50,78.29041
-6.207245,50,78.321781
-6.815916,50,78.354517
-10.454496,50,78.386077
-7.533059,50,78.417442
-7.207154,50,78.979669
-4.863237,50,79.010752
-11.942778,50,79.042033
-5.48826,50,79.074724
-12.872588,50,79.106342
-7.522088,50,79.137707
-8.162153,50,79.169942
-3.757041,50,79.200848
-9.42689,50,79.23184
-3.160059,50,79.263842
-6.487396,50,79.827088
-5.308746,50,79.859424
-6.413295,50,79.891793
-8.793992,50,79.922828
-8.031379,50,79.953511
-11.376348,50,79.98619
-3.763806,50,80.017957
-6.389829,50,80.049122
-3.877888,50,80.081801
-11.14561,50,80.113734
-6.95325,50,80.145563
-2.932066,50,80.714092
-6.528988,50,80.745001
-6.964774,50,80.777386
-6.963087,50,80.808858
-8.116559,50,80.840978
-7.353877,50,80.873347
-3.076289,50,80.904518
-6.181759,50,80.936252
-4.353317,50,80.967203
-5.512568,50,80.999302
-5.747366,50,81.559218
-8.275334,50,81.591311
-9.471217,50,81.622253
-8.010892,50,81.653326
-7.801294,50,81.685345
-4.612676,50,81.716844
-12.904223,50,81.748267
-5.056832,50,81.780133
-8.945888,50,81.81181
-5.706651,50,81.843409
-12.261827,50,82.409335
-8.753161,50,82.440162
-4.632571,50,82.471633
-11.394753,50,82.503927
-10.928145,50,82.535351
-6.332846,50,82.566228
-7.340625,50,82.598814
-5.764509,50,82.62992
-8.504598,50,82.660846
-7.979862,50,82.694188
-5.743146,50,83.258644
-7.685365,50,83.289936
-5.487969,50,83.322123
-7.682131,50,83.353061
-5.451785,50,83.384281
-7.388884,50,83.416691
-7.571698,50,83.447855
-4.950299,50,83.479319
-6.166811,50,83.511725
-10.762301,50,83.543196
-7.160107,50,83.57498
-6.149189,50,84.134588
-3.785104,50,84.165901
-4.947248,50,84.197152
-6.937198,50,84.229464
-8.938876,50,84.260976
-6.792471,50,84.292239
